gene	cluster	p_val	avg_log2FC	p_val_adj	pct.1	pct.2
CABCOCO1	Ciliated cell_IPF	0	4.80903155253313	0	0.504	0.024
ARMC3	Ciliated cell_IPF	0	4.75768063057856	0	0.598	0.032
ERICH3	Ciliated cell_IPF	0	4.72704737807622	0	0.679	0.042
C6	Ciliated cell_IPF	0	4.70905912663222	0	0.397	0.021
VWA3B	Ciliated cell_IPF	0	4.69502074513317	0	0.445	0.025
LRRC10B	Ciliated cell_IPF	0	4.68901581702582	0	0.51	0.03
CCDC170	Ciliated cell_IPF	0	4.68407034433478	0	0.812	0.065
SRD5A2	Ciliated cell_IPF	0	4.68208198971867	0	0.327	0.018
C7orf57	Ciliated cell_IPF	0	4.66874576469703	0	0.514	0.029
ENKUR	Ciliated cell_IPF	0	4.66474599044584	0	0.758	0.047
CCDC113	Ciliated cell_IPF	0	4.65257481693298	0	0.539	0.034
STOML3	Ciliated cell_IPF	0	4.63702901199579	0	0.653	0.037
ANKRD66	Ciliated cell_IPF	0	4.63216899573904	0	0.563	0.031
APOBEC4	Ciliated cell_IPF	0	4.61826647546904	0	0.282	0.015
LDLRAD1	Ciliated cell_IPF	0	4.60872889756203	0	0.802	0.059
CATSPERD	Ciliated cell_IPF	0	4.60656504316518	0	0.751	0.049
DCDC2B	Ciliated cell_IPF	0	4.60454551598156	0	0.613	0.035
CFAP57	Ciliated cell_IPF	0	4.60059013005529	0	0.358	0.021
SMIM41	Ciliated cell_IPF	0	4.59567085582234	0	0.32	0.014
WDR78	Ciliated cell_IPF	0	4.59233172686978	0	0.572	0.034
CFAP77	Ciliated cell_IPF	0	4.58044367059027	0	0.551	0.031
RSPH4A	Ciliated cell_IPF	0	4.571340913	0	0.577	0.032
C11orf97	Ciliated cell_IPF	0	4.56238719199397	0	0.789	0.05
WDR38	Ciliated cell_IPF	0	4.55058928945057	0	0.836	0.066
TSPAN19	Ciliated cell_IPF	0	4.54501853043303	0	0.799	0.061
DRC1	Ciliated cell_IPF	0	4.54351375769322	0	0.556	0.033
CCDC74B	Ciliated cell_IPF	0	4.54212609675735	0	0.623	0.035
DNAH10	Ciliated cell_IPF	0	4.54018800596337	0	0.42	0.025
CCDC39	Ciliated cell_IPF	0	4.53010897838388	0	0.475	0.027
SNTN	Ciliated cell_IPF	0	4.5265412914073	0	0.939	0.091
RIPOR2	Ciliated cell_IPF	0	4.50292733774503	0	0.315	0.015
TRIP13	Ciliated cell_IPF	0	4.49986709207118	0	0.576	0.046
FABP6	Ciliated cell_IPF	0	4.49807506669282	0	0.627	0.053
AK7	Ciliated cell_IPF	0	4.49597527737501	0	0.407	0.026
TMEM232	Ciliated cell_IPF	0	4.4953235491856	0	0.426	0.025
TUBA4B	Ciliated cell_IPF	0	4.49069884057973	0	0.815	0.057
DNAAF3	Ciliated cell_IPF	0	4.48882106497305	0	0.672	0.043
CFAP206	Ciliated cell_IPF	0	4.48867217696207	0	0.331	0.017
CFAP73	Ciliated cell_IPF	0	4.48779810776395	0	0.802	0.061
CCDC173	Ciliated cell_IPF	0	4.48663324732997	0	0.538	0.034
DNAH9	Ciliated cell_IPF	0	4.48380168003224	0	0.6	0.037
CCL15	Ciliated cell_IPF	0	4.48028785669371	0	0.48	0.027
CFAP300	Ciliated cell_IPF	0	4.47758582984879	0	0.542	0.034
EFCAB10	Ciliated cell_IPF	0	4.47663440596556	0	0.625	0.038
CFAP53	Ciliated cell_IPF	0	4.47607626046292	0	0.809	0.058
TTC29	Ciliated cell_IPF	0	4.47450388237718	0	0.387	0.022
FRMPD2	Ciliated cell_IPF	0	4.46376845881144	0	0.292	0.018
SPEF1	Ciliated cell_IPF	0	4.46355760507423	0	0.721	0.049
DYNLRB2	Ciliated cell_IPF	0	4.45878508004493	0	0.937	0.099
LKAAEAR1	Ciliated cell_IPF	0	4.45866242656215	0	0.568	0.039
CCDC33	Ciliated cell_IPF	0	4.45677088117223	0	0.457	0.028
HYDIN	Ciliated cell_IPF	0	4.4560739470232	0	0.584	0.041
ROPN1L	Ciliated cell_IPF	0	4.45347516670523	0	0.86	0.068
C16orf71	Ciliated cell_IPF	0	4.45072577418491	0	0.372	0.023
SPAG6	Ciliated cell_IPF	0	4.45009931540596	0	0.752	0.058
CFAP126	Ciliated cell_IPF	0	4.44781602148312	0	0.885	0.068
LRRC71	Ciliated cell_IPF	0	4.44777795052309	0	0.456	0.025
C1orf87	Ciliated cell_IPF	0	4.44385219770884	0	0.378	0.02
ARMC4	Ciliated cell_IPF	0	4.43730900227454	0	0.406	0.024
MAP3K19	Ciliated cell_IPF	0	4.43270362193352	0	0.358	0.022
CFAP43	Ciliated cell_IPF	0	4.4324857087384	0	0.617	0.04
CAPSL	Ciliated cell_IPF	0	4.43096536941237	0	0.923	0.094
FAM166B	Ciliated cell_IPF	0	4.42962094323353	0	0.76	0.05
NEK5	Ciliated cell_IPF	0	4.42730800048581	0	0.569	0.038
DYDC2	Ciliated cell_IPF	0	4.42571274362208	0	0.698	0.045
FAM81B	Ciliated cell_IPF	0	4.4256550772858	0	0.704	0.046
DNAH12	Ciliated cell_IPF	0	4.42363710338526	0	0.647	0.041
SPATA4	Ciliated cell_IPF	0	4.4234421623874	0	0.322	0.018
ZBBX	Ciliated cell_IPF	0	4.42275035882007	0	0.533	0.032
PPP1R32	Ciliated cell_IPF	0	4.42192239783092	0	0.431	0.03
C6orf118	Ciliated cell_IPF	0	4.41954357377929	0	0.636	0.039
ZMYND10	Ciliated cell_IPF	0	4.41447053648339	0	0.924	0.095
WDR93	Ciliated cell_IPF	0	4.41418814948459	0	0.304	0.017
C22orf23	Ciliated cell_IPF	0	4.41250060415956	0	0.335	0.019
C2orf40	Ciliated cell_IPF	0	4.41226899779272	0	0.839	0.098
SAXO2	Ciliated cell_IPF	0	4.41134250839621	0	0.657	0.045
CACNG6	Ciliated cell_IPF	0	4.41083087792933	0	0.271	0.016
FAM216B	Ciliated cell_IPF	0	4.41051834728313	0	0.792	0.061
DCDC1	Ciliated cell_IPF	0	4.40282718595489	0	0.273	0.016
CCDC146	Ciliated cell_IPF	0	4.40139908828259	0	0.825	0.073
C2orf73	Ciliated cell_IPF	0	4.39859992199918	0	0.357	0.02
FAM92B	Ciliated cell_IPF	0	4.39460209781028	0	0.911	0.086
C22orf15	Ciliated cell_IPF	0	4.39349480960285	0	0.694	0.048
DAW1	Ciliated cell_IPF	0	4.39236781866724	0	0.507	0.031
RSPH14	Ciliated cell_IPF	0	4.38972389960274	0	0.371	0.022
EPPIN	Ciliated cell_IPF	0	4.38825467512192	0	0.296	0.019
TEKT2	Ciliated cell_IPF	0	4.38739551129899	0	0.744	0.053
DNER	Ciliated cell_IPF	0	4.38365988615367	0	0.264	0.018
ALOX15	Ciliated cell_IPF	0	4.37793994703248	0	0.513	0.042
RIIAD1	Ciliated cell_IPF	0	4.37483997352893	0	0.692	0.045
CFAP52	Ciliated cell_IPF	0	4.37460692318009	0	0.641	0.043
CCDC181	Ciliated cell_IPF	0	4.3737518672357	0	0.508	0.034
NHLRC4	Ciliated cell_IPF	0	4.37295321904375	0	0.398	0.025
CRISP2	Ciliated cell_IPF	0	4.37079625484052	0	0.363	0.025
PPIL6	Ciliated cell_IPF	0	4.36908394648226	0	0.689	0.056
DNAI2	Ciliated cell_IPF	0	4.36773289205726	0	0.498	0.032
TEKT1	Ciliated cell_IPF	0	4.36694207249995	0	0.796	0.062
CTXN1	Ciliated cell_IPF	0	4.36634697016938	0	0.561	0.041
CCDC78	Ciliated cell_IPF	0	4.3648360330739	0	0.924	0.089
TTC25	Ciliated cell_IPF	0	4.36188961707966	0	0.469	0.029
PACRG	Ciliated cell_IPF	0	4.36181013200117	0	0.621	0.042
LRRC73	Ciliated cell_IPF	0	4.35931357368587	0	0.352	0.023
CCDC65	Ciliated cell_IPF	0	4.35286354502935	0	0.443	0.026
RSPH9	Ciliated cell_IPF	0	4.35210145499081	0	0.798	0.065
SPACA9	Ciliated cell_IPF	0	4.34788737365088	0	0.495	0.034
EFCAB1	Ciliated cell_IPF	0	4.34566281002219	0	0.87	0.079
C1orf189	Ciliated cell_IPF	0	4.34560836796307	0	0.391	0.026
FOXJ1	Ciliated cell_IPF	0	4.34102633367698	0	0.899	0.092
FBXO15	Ciliated cell_IPF	0	4.34070370301969	0	0.407	0.029
DRC7	Ciliated cell_IPF	0	4.34020986622954	0	0.268	0.017
RGS22	Ciliated cell_IPF	0	4.33659835142097	0	0.447	0.031
SMIM6	Ciliated cell_IPF	0	4.3301711927615	0	0.416	0.032
AK8	Ciliated cell_IPF	0	4.33004026176357	0	0.309	0.022
UBXN10	Ciliated cell_IPF	0	4.3294552977475	0	0.562	0.044
C11orf16	Ciliated cell_IPF	0	4.3276645941175	0	0.416	0.025
MORN5	Ciliated cell_IPF	0	4.32713305492639	0	0.907	0.089
C9orf135	Ciliated cell_IPF	0	4.32591484540391	0	0.767	0.058
ADGB	Ciliated cell_IPF	0	4.32341777026438	0	0.308	0.017
DNAH7	Ciliated cell_IPF	0	4.32238653909631	0	0.442	0.032
TMEM231	Ciliated cell_IPF	0	4.32006279825016	0	0.665	0.054
CFAP45	Ciliated cell_IPF	0	4.31862364025147	0	0.65	0.045
SPAG17	Ciliated cell_IPF	0	4.31860479439429	0	0.593	0.035
PPP1R42	Ciliated cell_IPF	0	4.31751228998078	0	0.512	0.029
10-Mar	Ciliated cell_IPF	0	4.31710529920722	0	0.339	0.022
RIBC1	Ciliated cell_IPF	0	4.31631146020656	0	0.511	0.037
NELL2	Ciliated cell_IPF	0	4.31453447441548	0	0.337	0.023
LRRC46	Ciliated cell_IPF	0	4.31378089682793	0	0.855	0.076
CCNA1	Ciliated cell_IPF	0	4.31352489160294	0	0.376	0.026
CFAP299	Ciliated cell_IPF	0	4.31130210374023	0	0.31	0.014
CD164L2	Ciliated cell_IPF	0	4.31063417810167	0	0.778	0.069
CFAP74	Ciliated cell_IPF	0	4.30836781683242	0	0.359	0.023
TTLL10	Ciliated cell_IPF	0	4.3075785632355	0	0.463	0.031
C1orf158	Ciliated cell_IPF	0	4.30734428921892	0	0.42	0.024
CDHR3	Ciliated cell_IPF	0	4.30406391921908	0	0.826	0.072
GON7	Ciliated cell_IPF	0	4.3028507664584	0	0.561	0.046
