gene	cluster	p_val	avg_log2FC	p_val_adj	pct.1	pct.2
FCN1	Secretory cell_CA	0	6.39756424379595	0	0.262	0.007
LGALS2	Secretory cell_CA	0	5.64916129820327	0	0.265	0.009
CSF3R	Secretory cell_CA	0	5.38872246409296	0	0.291	0.025
CXCL8	Secretory cell_CA	0	5.07954093642588	0	0.527	0.075
VCAN	Secretory cell_CA	0	5.04935274884179	0	0.294	0.021
G0S2	Secretory cell_CA	0	4.98071097785262	0	0.428	0.048
PHACTR1	Secretory cell_CA	0	4.77582655117349	0	0.394	0.044
IL1B	Secretory cell_CA	0	4.63126003482744	0	0.458	0.051
FPR1	Secretory cell_CA	0	4.28113681750393	0	0.415	0.035
RETN	Secretory cell_CA	0	4.15036139851619	0	0.287	0.029
THBS1	Secretory cell_CA	0	4.07856898720123	0	0.263	0.042
IL1RN	Secretory cell_CA	0	4.06218987929854	0	0.273	0.036
TLR2	Secretory cell_CA	0	3.89665068607231	0	0.283	0.025
C5AR1	Secretory cell_CA	0	3.8618552809419	0	0.337	0.045
THBD	Secretory cell_CA	0	3.81912693187377	0	0.263	0.027
MNDA	Secretory cell_CA	0	3.67435087424705	0	0.458	0.052
CSF2RA	Secretory cell_CA	0	3.65369512213466	0	0.295	0.029
FGL2	Secretory cell_CA	0	3.61450515802322	0	0.427	0.056
LST1	Secretory cell_CA	0	3.5859432520665	0	0.595	0.093
LPCAT2	Secretory cell_CA	0	3.52459237057065	0	0.273	0.028
NLRP3	Secretory cell_CA	0	3.47530119696609	0	0.294	0.045
PLEK	Secretory cell_CA	0	3.44581922048794	0	0.502	0.089
OLR1	Secretory cell_CA	0	3.44320404068527	0	0.398	0.047
CSF1R	Secretory cell_CA	0	3.41252021726038	0	0.333	0.032
CPVL	Secretory cell_CA	0	3.41152172354208	0	0.348	0.055
ITGAX	Secretory cell_CA	0	3.39820375135885	0	0.317	0.041
SLC11A1	Secretory cell_CA	0	3.39184890006679	0	0.362	0.056
HCK	Secretory cell_CA	0	3.38949018381223	0	0.366	0.055
HBEGF	Secretory cell_CA	0	3.35836347384568	0	0.337	0.061
CD86	Secretory cell_CA	0	3.34335016093596	0	0.353	0.041
SLC8A1	Secretory cell_CA	0	3.34209812709499	0	0.302	0.029
NCF2	Secretory cell_CA	0	3.31539570555298	0	0.392	0.049
FGR	Secretory cell_CA	0	3.29915745260924	0	0.333	0.041
CD14	Secretory cell_CA	0	3.26997979969836	0	0.438	0.057
CLEC7A	Secretory cell_CA	0	3.22561811686817	0	0.425	0.058
FCGR2B	Secretory cell_CA	0	3.22223430677563	0	0.291	0.041
RNF144B	Secretory cell_CA	0	3.20540560019269	0	0.253	0.042
PLXDC2	Secretory cell_CA	0	3.15593079206818	0	0.339	0.041
LYN	Secretory cell_CA	0	3.14990604323804	0	0.425	0.08
FAM49A	Secretory cell_CA	0	3.09658424886057	0	0.277	0.041
GRASP	Secretory cell_CA	0	3.0799984775152	0	0.345	0.056
VEGFA	Secretory cell_CA	0	3.07392829810543	0	0.363	0.075
RNASE6	Secretory cell_CA	0	3.06483781776153	0	0.358	0.047
CXCL2	Secretory cell_CA	0	3.06006975997272	0	0.409	0.092
SLC7A7	Secretory cell_CA	0	3.05275680622161	0	0.29	0.045
IGSF6	Secretory cell_CA	0	3.04534913040732	0	0.42	0.05
MS4A6A	Secretory cell_CA	0	2.9644919204492	0	0.483	0.069
SPI1	Secretory cell_CA	0	2.9550627506797	0	0.537	0.073
CYBB	Secretory cell_CA	0	2.95295425406021	0	0.522	0.071
ACSL1	Secretory cell_CA	0	2.93363489953856	0	0.386	0.091
TREM1	Secretory cell_CA	0	2.8851684044765	0	0.299	0.047
RAB31	Secretory cell_CA	0	2.87662605001391	0	0.446	0.065
ZNF385A	Secretory cell_CA	0	2.85564449992931	0	0.256	0.04
IFI30	Secretory cell_CA	0	2.82554644721376	0	0.438	0.067
EREG	Secretory cell_CA	0	2.76340398857692	0	0.258	0.04
KCTD12	Secretory cell_CA	0	2.75796940674102	0	0.363	0.058
IRF8	Secretory cell_CA	0	2.74731905599192	0	0.321	0.057
MEF2C	Secretory cell_CA	0	2.7460268783008	0	0.298	0.041
FCGR2A	Secretory cell_CA	0	2.72411750561917	0	0.464	0.065
IL13RA1	Secretory cell_CA	0	2.69288707915512	0	0.317	0.056
LILRB4	Secretory cell_CA	0	2.65783018598516	0	0.271	0.038
1-Mar	Secretory cell_CA	0	2.62232811622384	0	0.266	0.04
IL18	Secretory cell_CA	0	2.61257718935382	0	0.315	0.054
MAFB	Secretory cell_CA	0	2.58880291729573	0	0.35	0.067
CCDC88A	Secretory cell_CA	0	2.52444508545163	0	0.403	0.086
TNFSF13B	Secretory cell_CA	0	2.46941446366891	0	0.409	0.095
CXCL16	Secretory cell_CA	0	2.40502370401178	0	0.421	0.088
TGFBI	Secretory cell_CA	0	2.39904820482789	0	0.405	0.076
CSTA	Secretory cell_CA	0	2.37437166871398	0	0.32	0.062
ALOX5	Secretory cell_CA	0	2.34574857377412	0	0.342	0.069
ALDH2	Secretory cell_CA	0	2.34415926754701	0	0.448	0.092
CD163	Secretory cell_CA	0	2.34243460541424	0	0.362	0.06
LY86	Secretory cell_CA	0	2.20949401164938	0	0.298	0.05
MS4A7	Secretory cell_CA	0	2.116687746	0	0.416	0.067
CD302	Secretory cell_CA	9.02790903089026e-307	2.52154570832765	2.77012360703837e-302	0.264	0.046
