	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0042692	GO:0042692	muscle cell differentiation	2月11日	409/18903	0.022573499	0.098437609	0.063224869	IGFBP5/KRT19	2
GO:0001558	GO:0001558	regulation of cell growth	2月11日	422/18903	0.023934177	0.098437609	0.063224869	KRT17/IGFBP5	2
GO:1904738	GO:1904738	vascular associated smooth muscle cell migration	1月11日	48/18903	0.027587331	0.098437609	0.063224869	IGFBP5	1
GO:0006417	GO:0006417	regulation of translation	2月11日	486/18903	0.031115987	0.098437609	0.063224869	KRT17/IGFBP5	2
GO:0016049	GO:0016049	cell growth	2月11日	493/18903	0.0319487	0.098437609	0.063224869	KRT17/IGFBP5	2
GO:0001837	GO:0001837	epithelial to mesenchymal transition	1月11日	169/18903	0.009408762	0.158370301	0.101718659	SERPINB3	1
GO:0048660	GO:0048660	regulation of smooth muscle cell proliferation	1月11日	175/18903	0.00972749	0.159422753	0.102394632	IGFBP5	1
GO:0048659	GO:0048659	smooth muscle cell proliferation	1月11日	179/18903	0.009939409	0.160664412	0.103192129	IGFBP5	1
GO:0007219	GO:0007219	Notch signaling pathway	1月11日	183/18903	0.001015087	0.16097413	0.103391056	KRT19	1
GO:0090257	GO:0090257	regulation of muscle system process	1月11日	256/18903	0.00139317	0.175822469	0.112927902	IGFBP5	1
GO:0050673	GO:0050673	epithelial cell proliferation	1月11日	481/18903	0.002469332	0.246933247	0.158601194	IGFBP5	1
