gene	cluster	p_val	avg_log2FC	p_val_adj	pct.1	pct.2
RIPOR2	0	0	3.0112568876485	0	0.391	0.062
DNAAF4	0	0	2.83501870715017	0	0.553	0.099
SMIM41	0	0	2.7611009678703	0	0.375	0.066
CFAP299	0	0	2.74447845650502	0	0.363	0.064
METTL27	0	0	2.708088676	0	0.418	0.09
CRISP2	0	0	2.7008631078836	0	0.396	0.087
C1orf189	0	0	2.6767005789022	0	0.433	0.091
MRLN	0	0	2.60152738942379	0	0.371	0.081
TOGARAM2	0	0	2.57750586528786	0	0.274	0.054
CATIP	0	0	2.51680447435342	0	0.409	0.095
EIF4EBP3	0	0	2.48397676891317	0	0.265	0.064
APOBEC4	0	0	2.47782866570492	0	0.279	0.068
KCNRG	0	0	2.44307099149789	0	0.406	0.096
MRNIP	0	0	2.44179506907259	0	0.323	0.068
RIBC2	0	0	2.40143882357822	0	0.299	0.073
RSPH14	0	0	2.38507539204137	0	0.368	0.092
SPATA4	0	0	2.37426854493326	0	0.318	0.078
ANKUB1	0	0	2.35080471058576	0	0.384	0.099
TSNAXIP1	0	0	2.34271909257851	0	0.309	0.079
C2orf73	0	0	2.33973967212204	0	0.344	0.089
PIH1D2	0	0	2.33803436948209	0	0.365	0.094
RNASE4	0	0	2.31591845270375	0	0.279	0.084
WDR93	0	0	2.31489603776519	0	0.292	0.076
ZMYND12	0	0	2.31289955326486	0	0.252	0.066
CFAP410	0	0	2.31050976650681	0	0.377	0.098
C16orf71	0	0	2.30455414820669	0	0.361	0.094
HBB	0	0	2.29365011121863	0	0.287	0.083
C22orf23	0	0	2.28018896583111	0	0.327	0.083
AK8	0	0	2.26931679299332	0	0.296	0.081
MEIG1	0	0	2.26265558831102	0	0.285	0.076
SMKR1	0	0	2.25839140253043	0	0.256	0.071
WDR63	0	0	2.25168991081703	0	0.321	0.084
FAM47E	0	0	2.25089585406135	0	0.28	0.079
CASC1	0	0	2.24299972532825	0	0.333	0.089
TMEM45B	0	0	2.22973674254561	0	0.341	0.099
MAP3K19	0	0	2.20747813385675	0	0.336	0.092
C16orf46	0	0	2.20082166239996	0	0.294	0.084
LRRC73	0	0	2.19050554073067	0	0.325	0.093
TTLL9	0	0	2.17373706043361	0	0.268	0.075
RBKS	0	0	2.17287153669737	0	0.271	0.081
CFAP206	0	0	2.17057923170259	0	0.301	0.084
ZNRD2	0	0	2.15948639513084	0	0.281	0.082
CFAP57	0	0	2.1558399788372	0	0.323	0.093
SMIM5	0	0	2.155280035	0	0.306	0.09
TTC29	0	0	2.151854997	0	0.358	0.099
C1orf87	0	0	2.13713537183101	0	0.353	0.095
DZIP1L	0	0	2.13629438331627	0	0.301	0.089
CCNA1	0	0	2.13338871175319	0	0.355	0.099
LCA5L	0	0	2.13168814210141	0	0.252	0.075
SRD5A2	0	0	2.13133301657587	0	0.3	0.083
GRIN3B	0	0	2.1055000529782	0	0.287	0.088
ADGB	0	0	2.08807728160846	0	0.269	0.081
NELL2	0	0	2.08370617354098	0	0.299	0.091
CFAP46	0	0	2.08202959920212	0	0.3	0.091
SMIM27	0	0	2.07369364137245	0	0.258	0.075
VWA3A	0	0	2.07324093348101	0	0.279	0.087
CFAP74	0	0	2.06278999619212	0	0.316	0.096
C2orf81	0	0	2.04862723321472	0	0.286	0.09
CCDC180	0	0	2.04347457043652	0	0.263	0.081
CCDC96	0	0	2.03934337550208	0	0.311	0.096
TTC26	0	0	2.02893434972666	0	0.302	0.092
STOX1	0	0	2.02040673353478	0	0.305	0.096
MORN1	0	0	1.99746348378761	0	0.26	0.082
PKIB	0	0	1.99385228918173	0	0.265	0.09
ANKMY1	0	0	1.99375830908363	0	0.305	0.098
10-Mar	0	0	1.98598274355854	0	0.296	0.092
