gene	cluster	p_val	avg_log2FC	p_val_adj	pct.1	pct.2
CD40LG	0	0	1.92303728418758	0	0.266	0.09
FOXP3	2	0	3.68541616364275	0	0.482	0.041
AC017002.1	2	0	3.24965054340635	0	0.256	0.02
IL2RA	2	0	2.89866914362916	0	0.384	0.062
CD25	2	0	2.70059986259232	0	0.447	0.07
MAGEH1	2	0	2.67371537105049	0	0.424	0.097
RTKN2	2	0	2.08975879607198	0	0.286	0.057
ICA1	2	0	2.05580475635625	0	0.352	0.097
TOX2	2	0	1.95685195779684	0	0.284	0.061
FBLN7	2	0	1.74038479714797	0	0.314	0.072
TNFRSF9	2	0	1.72066477542945	0	0.317	0.086
IGFLR1	2	0	1.65404982581742	0	0.263	0.072
CD79B	2	0	1.48484770159092	0	0.267	0.073
MAL	2	0	1.47230962470283	0	0.265	0.082
IL21R	2	0	1.41629386076056	0	0.323	0.094
IKZF2	2	0	1.41169900063402	0	0.286	0.092
NINJ2	2	0	1.38840361995376	0	0.288	0.095
ENTPD1	2	0	1.32992949240627	0	0.278	0.096
TIAM1	2	0	1.29653898622429	0	0.269	0.092
AC006129.2	2	0	1.07184894675648	0	0.257	0.078
RP11-291B21.2	3	0	3.57534723406175	0	0.437	0.044
ZNF683	3	0	3.17932929313087	0	0.406	0.051
XCL2	3	0	3.013274047	0	0.292	0.054
KLRD1	3	0	2.95158939135966	0	0.631	0.084
CCL3L3	3	0	2.64903182037038	0	0.255	0.043
CRTAM	3	0	2.47561120088186	0	0.457	0.093
CLIC3	3	0	2.12963387811608	0	0.348	0.082
TRG-AS1	3	0	1.95317798223727	0	0.284	0.082
TRGC2	3	0	1.9150302684959	0	0.263	0.087
SLA2	3	0	1.86479949948297	0	0.35	0.099
AOAH	3	0	1.60164168904489	0	0.28	0.088
TNFRSF9	3	0	1.33085121765191	0	0.265	0.098
F2R	3	0	1.29169663976883	0	0.255	0.096
PAEP	4	0	5.99412039211216	0	0.253	0.009
CCND1	4	0	5.84027111336905	0	0.59	0.064
BCAM	4	0	5.67702383377332	0	0.279	0.03
CH17-224D4.2	4	0	5.58057501169348	0	0.279	0.004
CEACAM6	4	0	5.20579495116858	0	0.361	0.034
SLC34A2	4	0	5.16408940795143	0	0.368	0.022
NAPSA	4	0	4.99165498786795	0	0.46	0.039
IGLV2-23	4	0	4.61013664440235	0	0.303	0.009
SFTPB	4	0	4.47561183848571	0	0.693	0.075
SFTPA1	4	0	4.45443957253269	0	0.494	0.044
SFTPA2	4	0	4.38416744072569	0	0.535	0.05
SFTPC	4	0	4.16708087615963	0	0.269	0.081
CLDN4	4	0	3.76027414033476	0	0.341	0.079
LCN2	4	0	3.75329204488372	0	0.288	0.041
SEPP1	4	0	3.73612792260578	0	0.255	0.036
SPP1	4	0	1.51812455698347	0	0.389	0.095
LINC01871	5	0	4.40174912451921	0	0.294	0.015
TENT5C	5	0	3.72019886118344	0	0.371	0.037
CYTOR	5	0	3.51597669560582	0	0.588	0.087
AC044849.1	5	0	3.40595957883265	0	0.276	0.03
CRYBG1	5	0	3.15128244503623	0	0.459	0.061
MCUB	5	0	2.93258349069039	0	0.337	0.069
ARHGAP45	5	0	2.90910207627003	0	0.252	0.038
AC025164.1	5	0	2.87504604961919	0	0.263	0.039
VSIR	5	0	2.85272536467265	0	0.308	0.053
RIPOR2	5	0	2.75818849647321	0	0.297	0.037
CEMIP2	5	0	2.74267281132328	0	0.46	0.069
WASHC3	5	0	2.66752390915788	0	0.252	0.068
CYBC1	5	0	2.66474603195564	0	0.281	0.068
GRK2	5	0	2.65337899659656	0	0.269	0.064
OGA	5	0	2.64079397523819	0	0.307	0.067
NSD3	5	0	2.6072738462414	0	0.458	0.098
UFD1	5	0	2.33463520738415	0	0.258	0.079
AC058791.1	5	0	2.3022323641389	0	0.361	0.086
RAB5IF	5	0	2.22016448041404	0	0.279	0.085
TUT4	5	0	2.17004810564076	0	0.266	0.075
STMP1	5	0	2.12252487261794	0	0.265	0.086
BUD23	5	0	2.0458280604744	0	0.292	0.092
METTL26	5	0	2.02580613508517	0	0.309	0.095
SMIM26	5	0	1.99667340824634	0	0.319	0.099
ATP5PB	5	0	1.94652773709159	0	0.277	0.09
NBDY	5	0	1.91041397952484	0	0.267	0.091
AC016831.7	5	0	1.86373372488916	0	0.333	0.08
RTF2	5	0	1.82837948711385	0	0.257	0.091
TMEM238L	7	0	6.33308982829656	0	0.309	0.002
TFAP2B	7	0	6.27037983567188	0	0.431	0.004
SPIC	7	0	6.12909366857519	0	0.553	0.007
BARX1	7	0	5.98840710805443	0	0.33	0.003
PEX5L	7	0	5.93185112438628	0	0.353	0.003
BX119904.2	7	0	5.86210252889366	0	0.271	0.002
DAB1	7	0	5.79855382542644	0	0.437	0.005
HEPACAM2	7	0	5.71110459285276	0	0.591	0.008
AC025154.2	7	0	5.66918694303358	0	0.329	0.003
PART1	7	0	5.6637145473093	0	0.439	0.006
GAL	7	0	5.59543497509668	0	0.443	0.007
VSNL1	7	0	5.50280950422871	0	0.305	0.004
OTX2	7	0	5.47027757871362	0	0.52	0.007
FOXI1	7	0	5.4615624812208	0	0.379	0.005
RASD2	7	0	5.3800869563914	0	0.309	0.003
NREP	7	0	5.37349596662757	0	0.66	0.026
POU2F3	7	0	5.31325272922481	0	0.36	0.005
COLCA2	7	0	5.29029937252314	0	0.526	0.01
GFI1B	7	0	5.28842169794603	0	0.287	0.003
ST18	7	0	5.27318609947932	0	0.289	0.004
DSCR8	7	0	5.2675998169722	0	0.42	0.006
HES6	7	0	5.25832960694618	0	0.665	0.034
FAM83B	7	0	5.23321839058945	0	0.299	0.005
PRKAA2	7	0	5.22572770944141	0	0.329	0.005
NPY1R	7	0	5.22428804921122	0	0.384	0.004
TUBB2B	7	0	5.2049116603115	0	0.65	0.017
KCNMB2-AS1	7	0	5.204790633	0	0.396	0.006
SLC13A3	7	0	5.20198043172988	0	0.26	0.004
AC023043.1	7	0	5.18674274349247	0	0.283	0.006
POPDC3	7	0	5.18207137412842	0	0.29	0.003
IGFBP2	7	0	5.12246845126459	0	0.741	0.054
RAMP2	7	0	5.12198637937513	0	0.549	0.012
TTYH1	7	0	5.09447589137325	0	0.288	0.004
TMSB15A	7	0	5.0753408150573	0	0.274	0.004
BCAR4	7	0	5.07396732530632	0	0.349	0.005
ANKRD45	7	0	5.06988423387241	0	0.254	0.003
ACSM3	7	0	5.06535189306577	0	0.502	0.018
AZGP1	7	0	5.02544629556368	0	0.613	0.016
S100A2	7	0	5.00462027766008	0	0.322	0.031
HOXC9	7	0	4.98109102779186	0	0.253	0.003
CCSER1	7	0	4.97045185262065	0	0.389	0.007
SOX15	7	0	4.95411455104653	0	0.304	0.005
C11orf53	7	0	4.94997937077662	0	0.298	0.005
SIX1	7	0	4.93346229437499	0	0.539	0.011
KRT5	7	0	4.89167828994386	0	0.55	0.013
BEND5	7	0	4.88311045597027	0	0.452	0.009
SCG5	7	0	4.86475711594828	0	0.382	0.007
HOXA7	7	0	4.85458953708277	0	0.294	0.005
GPC3	7	0	4.85365905505237	0	0.371	0.006
PIWIL2	7	0	4.8428535352687	0	0.265	0.003
IGSF9	7	0	4.83304820194934	0	0.327	0.006
TPM2	7	0	4.80205727563515	0	0.693	0.035
MEX3A	7	0	4.7900516313172	0	0.393	0.008
CTXN1	7	0	4.76142560433929	0	0.368	0.007
CASC15	7	0	4.73680534466289	0	0.372	0.007
HHIP-AS1	7	0	4.72749367936674	0	0.274	0.004
APBB2	7	0	4.72620802082651	0	0.466	0.012
PROM1	7	0	4.72477558652612	0	0.406	0.007
SPINT1-AS1	7	0	4.70377222503506	0	0.499	0.013
ASCL2	7	0	4.6963335533802	0	0.609	0.024
RASSF6	7	0	4.68742220247777	0	0.479	0.014
OVOL2	7	0	4.68120177952223	0	0.423	0.009
ID4	7	0	4.66217107145176	0	0.306	0.006
SRPX	7	0	4.65385290331419	0	0.309	0.004
MELTF	7	0	4.64611673183868	0	0.259	0.006
MEIS2	7	0	4.62805885629345	0	0.445	0.011
ZNF883	7	0	4.62679994830517	0	0.257	0.005
UCHL1	7	0	4.62389436309767	0	0.431	0.009
HSD11B2	7	0	4.59203815636168	0	0.274	0.006
BEX3	7	0	4.57012231997776	0	0.81	0.036
DCDC2	7	0	4.55428545925598	0	0.334	0.004
GSTM3	7	0	4.53662042626642	0	0.619	0.042
FAM71E1	7	0	4.53292750901338	0	0.314	0.006
TPD52L1	7	0	4.52922836541214	0	0.627	0.019
FAM92A	7	0	4.5162805268754	0	0.254	0.007
SOX9	7	0	4.49080211841503	0	0.529	0.016
ADGRF1	7	0	4.47867831343751	0	0.458	0.013
PBX1	7	0	4.47454645103433	0	0.507	0.014
SH3BP4	7	0	4.4705738974678	0	0.524	0.017
TUSC1	7	0	4.45438977529133	0	0.415	0.011
DLL1	7	0	4.44258509353923	0	0.284	0.006
TESMIN	7	0	4.43598067579823	0	0.279	0.005
CARMIL1	7	0	4.42291026887961	0	0.404	0.011
C1orf115	7	0	4.41737564678845	0	0.298	0.006
BARX2	7	0	4.35755111330161	0	0.533	0.014
CA9	7	0	4.35051817313132	0	0.582	0.017
KRT17	7	0	4.32577028205083	0	0.45	0.052
ZNF704	7	0	4.32292253616898	0	0.314	0.008
KAZN	7	0	4.32282313570961	0	0.325	0.009
HDGFL3	7	0	4.29217661662913	0	0.412	0.011
HOMER3	7	0	4.28277949963595	0	0.588	0.03
ASAP2	7	0	4.28125512181392	0	0.437	0.013
PCLAF	7	0	4.24634724560655	0	0.469	0.019
FBLN1	7	0	4.20300810451069	0	0.393	0.009
KIT	7	0	4.17889134716181	0	0.549	0.015
PHGDH	7	0	4.16076396259855	0	0.586	0.025
KYNU	7	0	4.12628120513016	0	0.68	0.05
TUSC3	7	0	4.10683266510232	0	0.536	0.016
BTBD3	7	0	4.09735346385685	0	0.423	0.012
TMSB4Y	7	0	4.08363514085334	0	0.265	0.007
KCTD1	7	0	4.07633037552703	0	0.342	0.01
RTL8A	7	0	4.06946217174158	0	0.553	0.023
PITX1	7	0	4.06911931366954	0	0.513	0.017
GCLC	7	0	4.06285151908663	0	0.563	0.046
TFAP2A	7	0	4.05933571824217	0	0.299	0.008
FAM229B	7	0	4.03874395445306	0	0.536	0.02
TCEAL9	7	0	4.03487858662419	0	0.502	0.021
ENAH	7	0	4.01777128946993	0	0.635	0.026
IGF2BP3	7	0	4.00330585900681	0	0.378	0.011
AC245595.1	7	0	4.00254858278271	0	0.252	0.009
FAM3B	7	0	3.99910408794958	0	0.401	0.013
