"gene_short_name","pval","qval"
"NBL1",0,0
"PLA2G2A",0,0
"ID3",0,0
"CD52",0,0
"LAPTM5",0,0
"JUN",0,0
"CYR61",0,0
"FCER1G",0,0
"DPT",0,0
"RGS1",0,0
"RGS13",0,0
"RGS2",0,0
"CFH",0,0
"C1orf186",0,0
"ATF3",0,0
"EFEMP1",0,0
"REL",0,0
"CAPG",0,0
"COL3A1",0,0
"FN1",0,0
"IGFBP5",0,0
"COL6A3",0,0
"SELK",0,0
"CCDC80",0,0
"FSTL1",0,0
"RARRES1",0,0
"APOD",0,0
"SPON2",0,0
"IGFBP7",0,0
"AREG",0,0
"SPARCL1",0,0
"HPGDS",0,0
"ADH1B",0,0
"SFRP2",0,0
"HPGD",0,0
"PDLIM3",0,0
"C7",0,0
"SEPP1",0,0
"VCAN",0,0
"CXCL14",0,0
"EGR1",0,0
"GPX3",0,0
"SPARC",0,0
"LTC4S",0,0
"HSPA1A",0,0
"CTGF",0,0
"TCF21",0,0
"TNFAIP3",0,0
"SFRP4",0,0
"ELN",0,0
"HSPB1",0,0
"COL1A2",0,0
"PCOLCE",0,0
"CAV1",0,0
"CALD1",0,0
"RARRES2",0,0
"TIMP1",0,0
"BGN",0,0
"CEBPD",0,0
"CTHRC1",0,0
"MYC",0,0
"PLIN2",0,0
"TPM2",0,0
"ASPN",0,0
"GSN",0,0
"PTGDS",0,0
"DKK3",0,0
"C11orf96",0,0
"SERPING1",0,0
"FTH1",0,0
"SERPINH1",0,0
"BIRC3",0,0
"NNMT",0,0
"TAGLN",0,0
"THY1",0,0
"CREM",0,0
"C10orf10",0,0
"ARID5B",0,0
"SRGN",0,0
"PLAC9",0,0
"C1S",0,0
"C1R",0,0
"A2M",0,0
"CD69",0,0
"EMP1",0,0
"MGP",0,0
"ARHGDIB",0,0
"IGFBP6",0,0
"CPM",0,0
"LUM",0,0
"DCN",0,0
"IGF1",0,0
"ALOX5AP",0,0
"POSTN",0,0
"NFKBIA",0,0
"GPR65",0,0
"SOCS1",0,0
"MMP2",0,0
"CES1",0,0
"MT1E",0,0
"MT1M",0,0
"MT1X",0,0
"CKLF",0,0
"SERPINF1",0,0
"MFAP4",0,0
"CCL2",0,0
"CCL18",0,0
"CCL4",0,0
