"gene_short_name","pval","qval"
"UBB",4.32700184466879e-238,8.22605845195276e-238
"ANKRD36C",3.79016424986152e-56,4.82131187666208e-56
"HSPA6",0,0
"HIST1H2AC",6.40718837000813e-306,1.37524018363698e-305
"RRAD",4.36391397504813e-282,8.96623655205851e-282
"TLE4",7.60138139006889e-58,9.76997756673044e-58
"CAPS",0,0
"HIST1H2BG",8.31613001251703e-313,1.81195276091204e-312
"SLC44A4",8.04890507818186e-134,1.21931749433053e-133
"RHOV",5.8901757638123e-269,1.17396360269531e-268
"HIST1H2AE",0,0
"IER5",3.09939984835552e-187,5.37270715195896e-187
"SIK1",7.59625852658489e-168,1.27587643213513e-167
"DNAJA1",1.90936898527195e-60,2.4761681743032e-60
"HIST1H1C",0,0
"NRP2",7.04204736900282e-178,1.20382825576827e-177
"DEDD2",5.16241578602661e-227,9.52129990386571e-227
"ABHD3",3.96093819366856e-55,5.00908119520951e-55
"SOX7",9.68387715240427e-162,1.58048183713768e-161
"DEFB1",2.40985137944255e-156,3.87457517326729e-156
"MUC4",1.96228631107949e-223,3.61144182783779e-223
"PPP1R15A",6.42751861943058e-200,1.14399251148302e-199
"BPIFB1",0,0
"CRIP1",7.37233014599105e-159,1.19644757528748e-158
"AGR3",0,0
"SFTA2",9.87474924457404e-142,1.52802470421405e-141
"FOXJ1",5.92441077999772e-158,9.57872023308042e-158
"SMIM22",0,0
"CLDN3",2.95810387721528e-284,6.10682542670936e-284
"FAM183A",8.89470957819369e-279,1.81460466630602e-278
"SAA1",0,0
"IFFO2",1.92480442782789e-116,2.7795589817548e-116
"RAB11FIP1",0,0
"PIGR",9.93343989940383e-181,1.70484633194133e-180
"EDN2",0,0
"TUBA4A",3.64131692280197e-247,7.03066771924934e-247
"MT-ND3",8.65360325466942e-221,1.58252998209071e-220
"SCGB3A1",0,0
"RPS4Y1",0,0
"AGR2",0,0
"MMP1",0,0
"WFDC2",0,0
"RIC3",1.82568169147922e-244,3.49383775028657e-244
"S100P",1.42144078630787e-294,2.98433563144735e-294
"LAMB3",0,0
"SERPINB3",0,0
"ITGB6",2.46574378822566e-236,4.66710804554747e-236
"TSPAN1",0,0
"TM4SF1",0,0
"ELF3",0,0
"ITGA3",0,0
