Gene Symbol	Description	Category	Uniprot ID	Gifts	GC Id	Relevance score	GeneCards Link
SNAI1	Snail Family Transcriptional Repressor 1	Protein Coding	O95863	56	GC20P049982	12.2736511230469	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNAI1
TGFB1	Transforming Growth Factor Beta 1	Protein Coding	P01137	65	GC19M041301	12.0770378112793	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1
ZEB1	Zinc Finger E-Box Binding Homeobox 1	Protein Coding	P37275	62	GC10P031318	11.9153966903687	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZEB1
SNAI2	Snail Family Transcriptional Repressor 2	Protein Coding	O43623	55	GC08M048917	8.99682235717773	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNAI2
ITK	IL2 Inducible T Cell Kinase	Protein Coding	Q08881	63	GC05P157158	8.64303112030029	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITK
SLC22A3	Solute Carrier Family 22 Member 3	Protein Coding	O75751	56	GC06P160348	8.50674724578857	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A3
CDH1	Cadherin 1	Protein Coding	P12830	62	GC16P068737	7.76419162750244	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH1
TWIST1	Twist Family BHLH Transcription Factor 1	Protein Coding	Q15672	59	GC07M019020	7.04763984680176	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TWIST1
H19	H19 Imprinted Maternally Expressed Transcript	RNA Gene		36	GC11M001995	7.03982925415039	https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19
MIR7-3HG	MIR7-3 Host Gene	RNA Gene	Q8N6C7	34	GC19P132003	6.69052410125732	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR7-3HG
CTNNB1	Catenin Beta 1	Protein Coding	P35222	66	GC03P041194	6.15504837036133	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1
SCARNA5	Small Cajal Body-Specific RNA 5	RNA Gene		28	GC02P233275	5.66789531707764	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARNA5
AKT1	AKT Serine/Threonine Kinase 1	Protein Coding	P31749	66	GC14M104769	5.53089570999146	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1
STAT3	Signal Transducer And Activator Of Transcription 3	Protein Coding	P40763	66	GC17M042313	5.46413230895996	https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3
VIM	Vimentin	Protein Coding	P08670	63	GC10P017227	5.40507984161377	https://www.genecards.org/cgi-bin/carddisp.pl?gene=VIM
LOXL2	Lysyl Oxidase Like 2	Protein Coding	Q9Y4K0	58	GC08M023296	5.29292249679565	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOXL2
EGFR	Epidermal Growth Factor Receptor	Protein Coding	P00533	68	GC07P055019	5.11674785614014	https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR
MEG3	Maternally Expressed 3	RNA Gene		36	GC14P119042	4.95413112640381	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEG3
HIF1A	Hypoxia Inducible Factor 1 Subunit Alpha	Protein Coding	Q16665	61	GC14P061695	4.95114135742188	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A
FAM3C	FAM3 Metabolism Regulating Signaling Molecule C	Protein Coding	Q92520	49	GC07M121378	4.92465591430664	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM3C
MIR200C	MicroRNA 200c	RNA Gene		30	GC12P046792	4.91781997680664	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200C
